player,uses,fight_count,primary_role,av_count
Ayriea,1,73,rdps,0.0136986301369863
Brian,2,104,mdps,0.019230769230769232
Shadowbaine,3,87,rdps,0.034482758620689655
Acturus,7,105,healer,0.06666666666666667
Draigo,7,105,tank,0.06666666666666667
Kopyelock,7,105,rdps,0.06666666666666667
Jampers,8,105,healer,0.0761904761904762
Vampyric,4,48,mdps,0.08333333333333333
Petrol,9,105,rdps,0.08571428571428572
Psychodruid,9,105,rdps,0.08571428571428572
Stradlock,4,44,rdps,0.09090909090909091
Vaelyra,7,75,mdps,0.09333333333333334
Mythrose,7,75,healer,0.09333333333333334
Toy,8,71,mdps,0.11267605633802817
Earrl,12,105,tank,0.11428571428571428
Illestra,12,105,healer,0.11428571428571428
Uuglei,3,26,mdps,0.11538461538461539
Tawn,13,105,rdps,0.12380952380952381
Metonymy,18,105,rdps,0.17142857142857143
Grombrindal,17,97,mdps,0.17525773195876287
