player,count,fight_count,primary_role,av_count
Ayriea,1130,296,rdps,3.8175675675675675
Brian,962,296,mdps,3.25
Toy,729,244,mdps,2.987704918032787
Illestra,641,295,healer,2.1728813559322036
Vampyric,450,224,mdps,2.0089285714285716
Draigo,574,296,tank,1.9391891891891893
Stradlock,408,225,rdps,1.8133333333333332
Grombrindal,450,296,mdps,1.5202702702702702
Earrl,405,295,tank,1.3728813559322033
Metonymy,373,295,rdps,1.264406779661017
Vaelyra,216,184,mdps,1.173913043478261
Petrol,314,296,rdps,1.0608108108108107
Kopyelock,303,295,rdps,1.0271186440677966
Shadowbaine,288,291,rdps,0.9896907216494846
Velryssa,211,292,mdps,0.7226027397260274
Tawn,147,285,rdps,0.5157894736842106
Psychodruid,139,293,rdps,0.47440273037542663
Acturus,111,258,healer,0.43023255813953487
