player,hits,fight_count,primary_role,av_count
Kopyelock,12,295,rdps,0.04067796610169491
Stradlock,10,225,rdps,0.044444444444444446
Ayriea,15,296,rdps,0.05067567567567568
Petrol,17,296,rdps,0.057432432432432436
Vampyric,13,224,mdps,0.05803571428571429
Vaelyra,11,184,mdps,0.059782608695652176
Mythrose,21,289,healer,0.0726643598615917
Acturus,19,258,healer,0.07364341085271318
Velsummers,22,271,healer,0.08118081180811808
Tawn,24,285,rdps,0.08421052631578947
Psychodruid,25,293,rdps,0.08532423208191127
Shadowbaine,25,291,rdps,0.0859106529209622
Grombrindal,28,296,mdps,0.0945945945945946
Brian,28,296,mdps,0.0945945945945946
Jampers,30,293,healer,0.10238907849829351
Toy,29,244,mdps,0.11885245901639344
Metonymy,36,295,rdps,0.12203389830508475
Velryssa,42,292,mdps,0.14383561643835616
Illestra,44,295,healer,0.14915254237288136
Draigo,61,296,tank,0.20608108108108109
Earrl,106,295,tank,0.3593220338983051
