player,uses,fight_count,primary_role,av_count
Velryssa,4,292,mdps,0.0136986301369863
Draigo,5,296,tank,0.016891891891891893
Shadowbaine,6,291,rdps,0.020618556701030927
Grombrindal,7,296,mdps,0.02364864864864865
Earrl,7,295,tank,0.023728813559322035
Ayriea,9,296,rdps,0.030405405405405407
Jampers,9,293,healer,0.030716723549488054
Stradlock,7,225,rdps,0.03111111111111111
Kopyelock,10,295,rdps,0.03389830508474576
Acturus,9,258,healer,0.03488372093023256
Petrol,12,296,rdps,0.04054054054054054
Brian,12,296,mdps,0.04054054054054054
Illestra,13,295,healer,0.04406779661016949
Psychodruid,14,293,rdps,0.04778156996587031
Vampyric,11,224,mdps,0.049107142857142856
Toy,12,244,mdps,0.04918032786885246
Metonymy,15,295,rdps,0.05084745762711865
Vaelyra,10,184,mdps,0.05434782608695652
Velsummers,17,271,healer,0.06273062730627306
Tawn,18,285,rdps,0.06315789473684211
Mythrose,20,289,healer,0.06920415224913495
