player,hits,fight_count,primary_role,av_count
Jampers,52,293,healer,0.17747440273037543
Petrol,53,296,rdps,0.17905405405405406
Illestra,56,295,healer,0.18983050847457628
Kopyelock,63,295,rdps,0.2135593220338983
Ayriea,78,296,rdps,0.2635135135135135
Tawn,79,285,rdps,0.2771929824561403
Grombrindal,85,296,mdps,0.28716216216216217
Velsummers,79,271,healer,0.2915129151291513
Mythrose,86,289,healer,0.2975778546712803
Velryssa,89,292,mdps,0.3047945205479452
Shadowbaine,96,291,rdps,0.32989690721649484
Vampyric,75,224,mdps,0.33482142857142855
Metonymy,99,295,rdps,0.33559322033898303
Vaelyra,62,184,mdps,0.33695652173913043
Stradlock,82,225,rdps,0.36444444444444446
Acturus,102,258,healer,0.3953488372093023
Draigo,119,296,tank,0.40202702702702703
Psychodruid,125,293,rdps,0.42662116040955633
Toy,105,244,mdps,0.430327868852459
Brian,149,296,mdps,0.5033783783783784
Earrl,193,295,tank,0.6542372881355932
