log_id,spell_id,player,hits,damage_taken
9t1JjYfvbZkyWCGP,273486,Vaelyra,10,415943
9t1JjYfvbZkyWCGP,273486,Metonymy,4,183209
9t1JjYfvbZkyWCGP,273486,Earrl,9,245969
9t1JjYfvbZkyWCGP,273486,Petrol,5,212317
9t1JjYfvbZkyWCGP,273486,Stradlock,8,374656
9t1JjYfvbZkyWCGP,273486,Brian,13,580971
9t1JjYfvbZkyWCGP,273486,Illestra,4,177804
9t1JjYfvbZkyWCGP,273486,Tawn,4,193379
9t1JjYfvbZkyWCGP,273486,Ayriea,4,164590
9t1JjYfvbZkyWCGP,273486,Grombrindal,9,372766
9t1JjYfvbZkyWCGP,273486,Shadowbaine,10,493561
9t1JjYfvbZkyWCGP,273486,Acturus,12,468450
9t1JjYfvbZkyWCGP,273486,Velsummers,6,285927
9t1JjYfvbZkyWCGP,273486,Mythrose,6,268949
9t1JjYfvbZkyWCGP,273486,Kopyelock,5,227902
9t1JjYfvbZkyWCGP,273486,Toy,16,658576
9t1JjYfvbZkyWCGP,273486,Vampyric,3,108650
9t1JjYfvbZkyWCGP,273486,Velryssa,4,171846
9t1JjYfvbZkyWCGP,273486,Psychodruid,10,443321
9t1JjYfvbZkyWCGP,273486,Jampers,3,119615
9t1JjYfvbZkyWCGP,273486,Draigo,11,296040
ac1rQnYvZWRjypVD,273486,Petrol,6,273004
ac1rQnYvZWRjypVD,273486,Brian,23,1063517
ac1rQnYvZWRjypVD,273486,Vampyric,12,488682
ac1rQnYvZWRjypVD,273486,Mythrose,9,386670
ac1rQnYvZWRjypVD,273486,Metonymy,16,737191
ac1rQnYvZWRjypVD,273486,Velsummers,5,205810
ac1rQnYvZWRjypVD,273486,Acturus,20,782075
ac1rQnYvZWRjypVD,273486,Kopyelock,9,393032
ac1rQnYvZWRjypVD,273486,Uuglei,26,1029373
ac1rQnYvZWRjypVD,273486,Grombrindal,9,349289
ac1rQnYvZWRjypVD,273486,Shadowbaine,14,634024
ac1rQnYvZWRjypVD,273486,Ayriea,13,556647
ac1rQnYvZWRjypVD,273486,Draigo,15,438287
ac1rQnYvZWRjypVD,273486,Stradlock,16,688573
ac1rQnYvZWRjypVD,273486,Psychodruid,14,553343
ac1rQnYvZWRjypVD,273486,Velryssa,14,628388
ac1rQnYvZWRjypVD,273486,Illestra,11,454025
ac1rQnYvZWRjypVD,273486,Tawn,9,394418
ac1rQnYvZWRjypVD,273486,Jampers,6,277935
ac1rQnYvZWRjypVD,273486,Earrl,29,1047975
GbryNmfD98zcH6Jn,273486,Tawn,7,330405
GbryNmfD98zcH6Jn,273486,Jampers,1,40702
GbryNmfD98zcH6Jn,273486,Grombrindal,6,243014
GbryNmfD98zcH6Jn,273486,Petrol,2,90830
GbryNmfD98zcH6Jn,273486,Draigo,8,240352
GbryNmfD98zcH6Jn,273486,Velryssa,8,347677
GbryNmfD98zcH6Jn,273486,Vaelyra,8,352742
GbryNmfD98zcH6Jn,273486,Metonymy,7,317670
GbryNmfD98zcH6Jn,273486,Ayriea,7,300157
GbryNmfD98zcH6Jn,273486,Illestra,2,94031
GbryNmfD98zcH6Jn,273486,Brian,12,611470
GbryNmfD98zcH6Jn,273486,Vampyric,8,286001
