player,hits,damage_taken,fight_count,primary_role,av_count
Cinzia,27,71820759,70,damage,0.38571428571428573
Petrol,46,128222381,87,damage,0.5287356321839081
Metonymy,61,165842686,87,damage,0.7011494252873564
Brian,80,197814950,87,damage,0.9195402298850575
Ayriea,80,203070873,85,damage,0.9411764705882353
Mythrose,84,217575723,87,healer,0.9655172413793104
Radiantldeal,88,200233727,87,healer,1.0114942528735633
Illestra,121,275671478,87,healer,1.3908045977011494
Future,121,306001378,86,damage,1.4069767441860466
Acturus,124,308914428,87,healer,1.4252873563218391
Psychodruid,112,272624343,75,damage,1.4933333333333334
Shallowfall,113,238052276,68,damage,1.661764705882353
Shadowbaine,139,371108247,81,damage,1.7160493827160495
Cagliostro,149,390658009,86,damage,1.7325581395348837
Vaelyra,112,254189473,62,damage,1.8064516129032258
Googboog,150,397456039,78,damage,1.9230769230769231
Velryssa,150,437670048,76,damage,1.9736842105263157
Earrl,551,1101770949,87,tank,6.333333333333333
Divanance,896,1898189474,85,tank,10.541176470588235
