player,hits,damage_taken,fight_count,primary_role,av_count
Ayriea,51,242150287,157,damage,0.3248407643312102
Cagliostro,51,263160964,154,damage,0.33116883116883117
Èllipses,43,194368087,122,damage,0.3524590163934426
Brian,55,264994725,155,damage,0.3548387096774194
Velryssa,28,121526363,74,damage,0.3783783783783784
Shadowbaine,55,290888468,134,damage,0.41044776119402987
Vaelyra,63,202556915,144,damage,0.4375
Googboog,25,126738845,52,damage,0.4807692307692308
Petrol,84,365718936,159,damage,0.5283018867924528
Radiantldeal,82,419426210,153,healer,0.5359477124183006
Metonymy,93,434280610,158,damage,0.5886075949367089
Kamer,55,237773545,86,damage,0.6395348837209303
Au,56,230821616,87,damage,0.6436781609195402
Tinytiki,52,120964391,79,damage,0.6582278481012658
Mythrose,95,511447079,144,healer,0.6597222222222222
Future,101,494486229,150,damage,0.6733333333333333
Shallowfall,107,546635731,153,damage,0.6993464052287581
Zephyyra,80,382934515,105,healer,0.7619047619047619
Psychodruid,104,449123454,131,damage,0.7938931297709924
Illestra,128,715143354,159,healer,0.8050314465408805
Acturus,121,664132691,148,healer,0.8175675675675675
Bryiah,29,160193424,30,damage,0.9666666666666667
Kyarrix,65,305917789,53,damage,1.2264150943396226
Divanance,245,956604913,159,tank,1.5408805031446542
Earrl,331,1192177211,159,tank,2.0817610062893084
