player,count,fight_count,primary_role,av_count
Jampers,41.0,40,healer,1.025
Illestrae,33.0,40,healer,0.825
Acturus,29.0,40,healer,0.725
Mythroes,24.0,37,healer,0.6486486486486487
Petroll,0.0,40,rdps,0.0
Ultray,0.0,35,rdps,0.0
Toyqt,0.0,31,mdps,0.0
Tawn,0.0,37,rdps,0.0
Tahvee,0.0,27,rdps,0.0
Stradivarus,0.0,32,rdps,0.0
Shadowbaine,0.0,20,rdps,0.0
Psychodruid,0.0,29,rdps,0.0
Metönymy,0.0,40,rdps,0.0
Ayriea,0.0,37,rdps,0.0
Kopyedeep,0.0,39,rdps,0.0
Irvaeryss,0.0,34,mdps,0.0
Elzam,0.0,32,mdps,0.0
Earrl,0.0,40,tank,0.0
Divinance,0.0,40,tank,0.0
Brianjr,0.0,34,mdps,0.0
Valmet,0.0,40,mdps,0.0
