log_id,spell_id,player,count
4yqhHd78P6JmxVgA,527,Mythroes,3
AmWzPKb2yBLr4TM8,527,Mythroes,5
BMXcpTVq6knrtzQv,527,Mythroes,1
jafB8qcgDvCmFRQM,527,Mythroes,4
KxB17AcZJhtYb2Dg,527,Mythroes,4
Md6BFW3qGwfzAYVH,527,Mythroes,7
4yqhHd78P6JmxVgA,4987,Acturus,7
AmWzPKb2yBLr4TM8,4987,Acturus,3
AXrNYJ197F2dQtGx,4987,Acturus,2
BMXcpTVq6knrtzQv,4987,Acturus,3
hGQaBYrMVdFmDf3w,4987,Acturus,3
jafB8qcgDvCmFRQM,4987,Acturus,3
KxB17AcZJhtYb2Dg,4987,Acturus,3
Md6BFW3qGwfzAYVH,4987,Acturus,3
xQ6WYrZNRM1FLtmH,4987,Acturus,2
4yqhHd78P6JmxVgA,77130,Illestrae,4
AmWzPKb2yBLr4TM8,77130,Illestrae,9
hGQaBYrMVdFmDf3w,77130,Illestrae,4
jafB8qcgDvCmFRQM,77130,Illestrae,5
KxB17AcZJhtYb2Dg,77130,Illestrae,3
Md6BFW3qGwfzAYVH,77130,Illestrae,8
4yqhHd78P6JmxVgA,88423,Jampers,9
AmWzPKb2yBLr4TM8,88423,Jampers,7
AXrNYJ197F2dQtGx,88423,Jampers,3
BMXcpTVq6knrtzQv,88423,Jampers,2
hGQaBYrMVdFmDf3w,88423,Jampers,5
jafB8qcgDvCmFRQM,88423,Jampers,5
Md6BFW3qGwfzAYVH,88423,Jampers,4
xQ6WYrZNRM1FLtmH,88423,Jampers,6
4yqhHd78P6JmxVgA,115450,Caydd,6
AXrNYJ197F2dQtGx,115450,Caydd,2
BMXcpTVq6knrtzQv,115450,Caydd,4
hGQaBYrMVdFmDf3w,115450,Caydd,4
KxB17AcZJhtYb2Dg,115450,Caydd,5
xQ6WYrZNRM1FLtmH,115450,Caydd,3
