player,count,fight_count,primary_role,av_count
Divinance,32,40,tank,0.8
Petroll,25,40,rdps,0.625
Toyqt,19,31,mdps,0.6129032258064516
Tahvee,16,27,rdps,0.5925925925925926
Metönymy,22,40,rdps,0.55
Valmet,21,40,mdps,0.525
Tawn,19,37,rdps,0.5135135135135135
Ayriea,17,37,rdps,0.4594594594594595
Brianjr,14,34,mdps,0.4117647058823529
Psychodruid,11,29,rdps,0.3793103448275862
Elzam,12,32,mdps,0.375
Earrl,10,40,tank,0.25
Irvaeryss,8,34,mdps,0.23529411764705882
Illestrae,5,40,healer,0.125
Stradivarus,3,32,rdps,0.09375
