player,hits,damage_taken,fight_count,primary_role,av_count
Acturus,0.0,0.0,40,healer,0.0
Tahvee,0.0,0.0,27,rdps,0.0
Mythroes,0.0,0.0,37,healer,0.0
Divinance,0.0,0.0,40,tank,0.0
Kopyedeep,0.0,0.0,39,rdps,0.0
Elzam,0.0,0.0,32,mdps,0.0
Irvaeryss,0.0,0.0,34,mdps,0.0
Metönymy,1.0,89813.0,40,rdps,0.025
Tawn,1.0,89897.0,37,rdps,0.02702702702702703
Ultray,1.0,91979.0,35,rdps,0.02857142857142857
Toyqt,1.0,96577.0,31,mdps,0.03225806451612903
Psychodruid,2.0,179448.0,29,rdps,0.06896551724137931
Brianjr,3.0,280235.0,34,mdps,0.08823529411764706
Illestrae,4.0,287326.0,40,healer,0.1
Ayriea,4.0,370234.0,37,rdps,0.10810810810810811
Shadowbaine,4.0,367098.0,20,rdps,0.2
Stradivarus,7.0,651743.0,32,rdps,0.21875
Earrl,10.0,766992.0,40,tank,0.25
Jampers,12.0,1099948.0,40,healer,0.3
Valmet,15.0,1339189.0,40,mdps,0.375
Petroll,17.0,1559899.0,40,rdps,0.425
