player,hits,damage_taken,fight_count,primary_role,av_count
Ayriea,144.0,22684809.0,343,rdps,0.4198250728862974
Soome,191.0,29452256.0,382,rdps,0.5
Jampers,238.0,37586574.0,472,healer,0.5042372881355932
Mythroes,241.0,37076745.0,449,healer,0.5367483296213809
Kopyedeep,213.0,31386573.0,396,rdps,0.5378787878787878
Metönymy,241.0,36292341.0,446,rdps,0.5403587443946188
Tahvee,189.0,30121094.0,347,rdps,0.5446685878962536
Brianjr,260.0,38954130.0,471,mdps,0.5520169851380042
Kohbee,268.0,42867348.0,470,rdps,0.5702127659574469
Psychodruid,241.0,36447218.0,415,rdps,0.5807228915662651
Toyqt,210.0,29675841.0,359,mdps,0.584958217270195
Irvaeryss,248.0,32186271.0,423,mdps,0.5862884160756501
Hokk,205.0,31289351.0,349,mdps,0.5873925501432665
Petroll,252.0,39036882.0,421,rdps,0.5985748218527316
Acturus,164.0,23888986.0,273,healer,0.6007326007326007
Illestrae,280.0,40929324.0,464,healer,0.603448275862069
Tawn,155.0,24175131.0,251,rdps,0.6175298804780877
Valmet,214.0,26701907.0,338,mdps,0.6331360946745562
Shadowbaine,267.0,41783450.0,392,rdps,0.6811224489795918
Atalya,234.0,36094904.0,338,mdps,0.6923076923076923
Elzam,201.0,30943095.0,275,mdps,0.730909090909091
Velryssa,132.0,19611888.0,179,mdps,0.7374301675977654
Caydd,178.0,24968869.0,229,healer,0.777292576419214
Earrl,672.0,83937534.0,472,tank,1.423728813559322
Divinance,1436.0,158139310.0,472,tank,3.042372881355932
