player,uses,fight_count,primary_role,av_count
Psychodruid,4819.0,415.0,rdps,11.612048192771084
Elzam,3269.0,275.0,mdps,11.887272727272727
Acturus,3260.0,273.0,healer,11.941391941391942
Tawn,3018.0,251.0,rdps,12.02390438247012
Tahvee,4212.0,347.0,rdps,12.138328530259367
Toyqt,4495.0,359.0,mdps,12.520891364902507
Irvaeryss,5449.0,423.0,mdps,12.881796690307329
Jampers,6177.0,472.0,healer,13.086864406779661
Ayriea,4496.0,343.0,rdps,13.107871720116618
Soome,5011.0,382.0,rdps,13.11780104712042
Kohbee,6208.0,470.0,rdps,13.208510638297872
Atalya,4545.0,338.0,mdps,13.446745562130177
Caydd,3097.0,229.0,healer,13.524017467248909
Petroll,5766.0,421.0,rdps,13.695961995249407
Velryssa,2530.0,179.0,mdps,14.134078212290502
Illestrae,6659.0,464.0,healer,14.351293103448276
Brianjr,6818.0,471.0,mdps,14.475583864118896
Metönymy,6549.0,446.0,rdps,14.683856502242152
Hokk,5418.0,349.0,mdps,15.524355300859598
Kopyedeep,6149.0,396.0,rdps,15.527777777777779
Mythroes,7152.0,449.0,healer,15.928730512249443
Valmet,5398.0,338.0,mdps,15.970414201183432
Shadowbaine,6284.0,392.0,rdps,16.03061224489796
Earrl,14457.0,472.0,tank,30.62923728813559
Divinance,16312.0,472.0,tank,34.559322033898304
