player,hits,damage_taken,fight_count,primary_role,av_count
Atalya,43.0,6734185.0,338,mdps,0.12721893491124261
Kohbee,61.0,9632960.0,470,rdps,0.12978723404255318
Elzam,39.0,5991881.0,275,mdps,0.14181818181818182
Brianjr,69.0,10881167.0,471,mdps,0.1464968152866242
Valmet,55.0,6851190.0,338,mdps,0.16272189349112426
Metönymy,84.0,12785243.0,446,rdps,0.18834080717488788
Toyqt,68.0,9444076.0,359,mdps,0.1894150417827298
Hokk,68.0,10624850.0,349,mdps,0.19484240687679083
Tawn,51.0,7958256.0,251,rdps,0.20318725099601595
Jampers,104.0,16443739.0,472,healer,0.22033898305084745
Kopyedeep,90.0,13950296.0,396,rdps,0.22727272727272727
Illestrae,115.0,17137046.0,464,healer,0.2478448275862069
Divinance,119.0,13111052.0,472,tank,0.2521186440677966
Earrl,122.0,14544262.0,472,tank,0.2584745762711864
Soome,100.0,15579754.0,382,rdps,0.2617801047120419
Shadowbaine,110.0,17479204.0,392,rdps,0.28061224489795916
Tahvee,100.0,16025748.0,347,rdps,0.2881844380403458
Ayriea,103.0,16269252.0,343,rdps,0.30029154518950435
Psychodruid,130.0,20138341.0,415,rdps,0.3132530120481928
Petroll,133.0,20701507.0,421,rdps,0.3159144893111639
Mythroes,155.0,24049198.0,449,healer,0.34521158129175944
Irvaeryss,152.0,19575107.0,423,mdps,0.35933806146572106
Velryssa,65.0,10298664.0,179,mdps,0.36312849162011174
Acturus,114.0,17089977.0,273,healer,0.4175824175824176
Caydd,102.0,14645239.0,229,healer,0.44541484716157204
