player,hits,damage_taken,fight_count,primary_role,av_count
Soome,16.0,1235249.0,382,rdps,0.041884816753926704
Tahvee,16.0,1299768.0,347,rdps,0.04610951008645533
Elzam,13.0,947662.0,275,mdps,0.04727272727272727
Tawn,12.0,939164.0,251,rdps,0.04780876494023904
Jampers,23.0,1811640.0,472,healer,0.048728813559322036
Metönymy,24.0,1847894.0,446,rdps,0.053811659192825115
Psychodruid,24.0,1781696.0,415,rdps,0.05783132530120482
Ayriea,24.0,1844596.0,343,rdps,0.06997084548104957
Kohbee,37.0,2989895.0,470,rdps,0.07872340425531915
Brianjr,39.0,2973820.0,471,mdps,0.08280254777070063
Valmet,29.0,1813095.0,338,mdps,0.08579881656804733
Acturus,25.0,1774153.0,273,healer,0.09157509157509157
Irvaeryss,47.0,3061892.0,423,mdps,0.1111111111111111
Velryssa,20.0,1550183.0,179,mdps,0.11173184357541899
Petroll,49.0,3653257.0,421,rdps,0.1163895486935867
Toyqt,42.0,2587569.0,359,mdps,0.116991643454039
Shadowbaine,46.0,3454179.0,392,rdps,0.11734693877551021
Atalya,43.0,3199295.0,338,mdps,0.12721893491124261
Mythroes,59.0,4488135.0,449,healer,0.13140311804008908
Caydd,31.0,2125971.0,229,healer,0.13537117903930132
Kopyedeep,55.0,4265228.0,396,rdps,0.1388888888888889
Illestrae,69.0,5034849.0,464,healer,0.14870689655172414
Hokk,54.0,4232442.0,349,mdps,0.15472779369627507
Divinance,97.0,5728518.0,472,tank,0.2055084745762712
Earrl,148.0,9038860.0,472,tank,0.3135593220338983
