player,hits,damage_taken,fight_count,primary_role,av_count
Earrl,18.0,1321495.0,472,tank,0.038135593220338986
Divinance,22.0,1612263.0,472,tank,0.046610169491525424
Tawn,99.0,9893325.0,251,rdps,0.3944223107569721
Elzam,109.0,10762268.0,275,mdps,0.39636363636363636
Toyqt,146.0,13603854.0,359,mdps,0.40668523676880225
Atalya,151.0,15059797.0,338,mdps,0.4467455621301775
Psychodruid,190.0,18902840.0,415,rdps,0.4578313253012048
Shadowbaine,180.0,18322426.0,392,rdps,0.45918367346938777
Caydd,107.0,9973962.0,229,healer,0.4672489082969432
Hokk,165.0,16437062.0,349,mdps,0.47277936962750716
Ayriea,164.0,16548796.0,343,rdps,0.478134110787172
Acturus,134.0,12647348.0,273,healer,0.4908424908424908
Jampers,237.0,24006443.0,472,healer,0.5021186440677966
Metönymy,226.0,21950113.0,446,rdps,0.5067264573991032
Mythroes,228.0,22532773.0,449,healer,0.5077951002227171
Irvaeryss,221.0,18218193.0,423,mdps,0.5224586288416075
Velryssa,94.0,9327923.0,179,mdps,0.5251396648044693
Valmet,178.0,14629230.0,338,mdps,0.5266272189349113
Tahvee,184.0,18770849.0,347,rdps,0.5302593659942363
Brianjr,252.0,25318369.0,471,mdps,0.535031847133758
Petroll,228.0,22698115.0,421,rdps,0.5415676959619953
Kopyedeep,226.0,22430854.0,396,rdps,0.5707070707070707
Soome,222.0,22109327.0,382,rdps,0.581151832460733
Kohbee,283.0,28901909.0,470,rdps,0.6021276595744681
Illestrae,280.0,26496248.0,464,healer,0.603448275862069
