player,uses,fight_count,primary_role,av_count
Toyqt,69.0,359,mdps,0.19220055710306408
Elzam,56.0,275,mdps,0.20363636363636364
Acturus,66.0,273,healer,0.24175824175824176
Hokk,95.0,349,mdps,0.2722063037249284
Valmet,93.0,338,mdps,0.27514792899408286
Kohbee,133.0,470,rdps,0.28297872340425534
Ayriea,101.0,343,rdps,0.2944606413994169
Tawn,76.0,251,rdps,0.30278884462151395
Jampers,147.0,472,healer,0.3114406779661017
Tahvee,115.0,347,rdps,0.3314121037463977
Psychodruid,140.0,415,rdps,0.3373493975903614
Atalya,116.0,338,mdps,0.3431952662721893
Irvaeryss,146.0,423,mdps,0.34515366430260047
Brianjr,164.0,471,mdps,0.3481953290870488
Mythroes,168.0,449,healer,0.3741648106904232
Kopyedeep,151.0,396,rdps,0.3813131313131313
Caydd,89.0,229,healer,0.388646288209607
Velryssa,74.0,179,mdps,0.4134078212290503
Illestrae,192.0,464,healer,0.41379310344827586
Shadowbaine,171.0,392,rdps,0.4362244897959184
Soome,174.0,382,rdps,0.45549738219895286
Metönymy,216.0,446,rdps,0.484304932735426
Earrl,234.0,472,tank,0.4957627118644068
Petroll,209.0,421,rdps,0.49643705463182897
Divinance,251.0,472,tank,0.5317796610169492
