player,hits,damage_taken,fight_count,primary_role,av_count
Acturus,5.0,652201.0,273,healer,0.018315018315018316
Brianjr,12.0,2019341.0,471,mdps,0.025477707006369428
Elzam,8.0,1346943.0,275,mdps,0.02909090909090909
Illestrae,14.0,2058979.0,464,healer,0.03017241379310345
Kopyedeep,12.0,1994253.0,396,rdps,0.030303030303030304
Mythroes,15.0,2538907.0,449,healer,0.0334075723830735
Kohbee,18.0,3047422.0,470,rdps,0.03829787234042553
Tawn,11.0,1805121.0,251,rdps,0.043824701195219126
Valmet,15.0,1798548.0,338,mdps,0.04437869822485207
Jampers,22.0,3680030.0,472,healer,0.046610169491525424
Ayriea,16.0,2684552.0,343,rdps,0.04664723032069971
Toyqt,17.0,2348930.0,359,mdps,0.04735376044568245
Petroll,24.0,4008159.0,421,rdps,0.057007125890736345
Soome,22.0,3509287.0,382,rdps,0.05759162303664921
Metönymy,26.0,4237128.0,446,rdps,0.05829596412556054
Velryssa,11.0,1774791.0,179,mdps,0.061452513966480445
Irvaeryss,26.0,3653306.0,423,mdps,0.061465721040189124
Tahvee,23.0,3987600.0,347,rdps,0.06628242074927954
Psychodruid,35.0,5686474.0,415,rdps,0.08433734939759036
Earrl,42.0,5775128.0,472,tank,0.08898305084745763
Shadowbaine,36.0,6180018.0,392,rdps,0.09183673469387756
Divinance,55.0,7234808.0,472,tank,0.11652542372881355
Caydd,33.0,3487519.0,229,healer,0.14410480349344978
Hokk,518.0,86005036.0,349,mdps,1.484240687679083
Atalya,505.0,84075373.0,338,mdps,1.4940828402366864
