player,hits,damage_taken,fight_count,primary_role,av_count
Atalya,486.0,37536442.0,338,mdps,1.4378698224852071
Hokk,715.0,54867335.0,349,mdps,2.048710601719198
Brianjr,1207.0,80857726.0,471,mdps,2.5626326963906583
Caydd,643.0,31690448.0,229,healer,2.8078602620087336
Psychodruid,1191.0,80874116.0,415,rdps,2.869879518072289
Mythroes,1294.0,90247632.0,449,healer,2.88195991091314
Elzam,797.0,50381006.0,275,mdps,2.898181818181818
Shadowbaine,1222.0,90261368.0,392,rdps,3.11734693877551
Metönymy,1416.0,94324267.0,446,rdps,3.1748878923766815
Irvaeryss,1428.0,90009354.0,423,mdps,3.375886524822695
Ayriea,1164.0,80297854.0,343,rdps,3.3935860058309038
Tahvee,1274.0,90397870.0,347,rdps,3.6714697406340058
Velryssa,667.0,40457683.0,179,mdps,3.7262569832402233
Petroll,1614.0,113137312.0,421,rdps,3.833729216152019
Kohbee,1811.0,121580293.0,470,rdps,3.853191489361702
Soome,1479.0,92470030.0,382,rdps,3.8717277486910993
Acturus,1068.0,61421100.0,273,healer,3.912087912087912
Earrl,1948.0,107783586.0,472,tank,4.127118644067797
Jampers,1963.0,138967963.0,472,healer,4.158898305084746
Kopyedeep,1736.0,120967644.0,396,rdps,4.383838383838384
Valmet,1482.0,91652123.0,338,mdps,4.384615384615385
Toyqt,1626.0,101618049.0,359,mdps,4.52924791086351
Tawn,1149.0,84637179.0,251,rdps,4.577689243027889
Illestrae,2530.0,168674712.0,464,healer,5.452586206896552
Divinance,3286.0,189510221.0,472,tank,6.961864406779661
