player_name,primary_role,boss_id,boss_name,percentile,ilevel,spec,metric,ranking_date
Vaelyra,mdps,2128,Fetid Devourer,31,377,Havoc,dps,2018-11-08
Vaelyra,mdps,2134,Vectis,31,376,Havoc,dps,2018-10-31
Vaelyra,mdps,2135,Mythrax,55,379,Havoc,dps,2018-11-16
Vaelyra,mdps,2136,Zek'voz,60,372,Havoc,dps,2018-10-03
Vaelyra,mdps,2141,MOTHER,49,372,Havoc,dps,2018-10-03
Vaelyra,mdps,2144,Taloc,80,373,Havoc,dps,2018-10-10
Metonymy,rdps,2128,Fetid Devourer,59,381,Frost,dps,2018-10-31
Metonymy,rdps,2134,Vectis,40,383,Frost,dps,2018-11-07
Metonymy,rdps,2135,Mythrax,8,385,Frost,dps,2018-11-16
Metonymy,rdps,2136,Zek'voz,24,383,Frost,dps,2018-11-07
Metonymy,rdps,2141,MOTHER,85,382,Frost,dps,2018-11-07
Metonymy,rdps,2144,Taloc,84,382,Frost,dps,2018-11-07
Metonymy,rdps,2145,Zul,28,381,Arcane,dps,2018-11-08
Brian,mdps,2128,Fetid Devourer,38,382,Assassination,dps,2018-10-31
Brian,mdps,2134,Vectis,82,382,Assassination,dps,2018-11-07
Brian,mdps,2135,Mythrax,85,383,Assassination,dps,2018-11-16
Brian,mdps,2136,Zek'voz,48,378,Outlaw,dps,2018-10-17
Brian,mdps,2141,MOTHER,72,378,Assassination,dps,2018-10-17
Brian,mdps,2144,Taloc,95,381,Assassination,dps,2018-10-31
Brian,mdps,2145,Zul,92,380,Subtlety,dps,2018-11-08
Petrol,rdps,2128,Fetid Devourer,87,382,Frost,dps,2018-10-31
Petrol,rdps,2134,Vectis,90,382,Frost,dps,2018-11-07
Petrol,rdps,2135,Mythrax,16,383,Frost,dps,2018-11-16
Petrol,rdps,2136,Zek'voz,67,382,Frost,dps,2018-11-07
Petrol,rdps,2141,MOTHER,90,381,Frost,dps,2018-10-24
Petrol,rdps,2144,Taloc,97,381,Frost,dps,2018-10-24
Petrol,rdps,2145,Zul,17,383,Arcane,dps,2018-11-08
Ayriea,rdps,2136,Zek'voz,93,381,Beast Mastery,dps,2018-11-07
Ayriea,rdps,2141,MOTHER,99,376,Beast Mastery,dps,2018-10-10
Ayriea,rdps,2144,Taloc,93,381,Beast Mastery,dps,2018-11-07
Ayriea,rdps,2128,Fetid Devourer,83,380,Beast Mastery,dps,2018-10-31
