player,count,fight_count,primary_role,av_count
Divinance,889.0,134,tank,6.634328358208955
Psychodruid,608.0,107,rdps,5.682242990654205
Earrl,381.0,134,tank,2.843283582089552
Soome,113.0,62,rdps,1.8225806451612903
Toyqt,211.0,134,mdps,1.5746268656716418
Atalya,43.0,34,mdps,1.2647058823529411
Jampers,129.0,129,healer,1.0
Tawn,58.0,91,rdps,0.6373626373626373
Illestrae,28.0,134,healer,0.208955223880597
Metönymy,11.0,134,rdps,0.08208955223880597
Kohbee,2.0,128,rdps,0.015625
Caydd,2.0,134,healer,0.014925373134328358
Acturus,2.0,134,healer,0.014925373134328358
Elzam,1.0,107,mdps,0.009345794392523364
Ultray,0.0,6,rdps,0.0
Valmet,0.0,128,mdps,0.0
Tahvee,0.0,63,rdps,0.0
Kopyedeep,0.0,104,rdps,0.0
Shadowbaine,0.0,73,rdps,0.0
Petroll,0.0,134,rdps,0.0
Mythroes,0.0,134,healer,0.0
Irvaeryss,0.0,69,mdps,0.0
Brianjr,0.0,134,mdps,0.0
Ayriea,0.0,119,rdps,0.0
Velryssa,0.0,48,mdps,0.0
