log_id,spell_id,player,count
6vGW8nAf4Tr3YXc7,122,Tawn,3
FwdP9AGaWr463RJQ,122,Metönymy,5
FwdP9AGaWr463RJQ,122,Tawn,23
hC3ntdWAZ76vXTY9,122,Tawn,11
hC3ntdWAZ76vXTY9,122,Metönymy,2
nmytFgqjNLAVrGhQ,122,Metönymy,1
pHFAY7Qgjv9fayRN,122,Tawn,2
QzNhwagDRZX4FfBA,122,Tawn,16
QzNhwagDRZX4FfBA,122,Metönymy,2
vhb4rcfZyYDXWJ1w,122,Metönymy,1
XDPn6wRcY1BA4JT2,122,Tawn,3
FwdP9AGaWr463RJQ,61391,Soome,4
hC3ntdWAZ76vXTY9,61391,Soome,11
6D3kj1MH9qdGRWh7,339,Psychodruid,5
6D3kj1MH9qdGRWh7,339,Soome,3
6vGW8nAf4Tr3YXc7,339,Psychodruid,15
6vGW8nAf4Tr3YXc7,339,Soome,4
FwdP9AGaWr463RJQ,339,Soome,9
FwdP9AGaWr463RJQ,339,Psychodruid,15
FwdP9AGaWr463RJQ,339,Earrl,5
hC3ntdWAZ76vXTY9,339,Psychodruid,8
hC3ntdWAZ76vXTY9,339,Jampers,1
hC3ntdWAZ76vXTY9,339,Earrl,1
hC3ntdWAZ76vXTY9,339,Soome,16
nmytFgqjNLAVrGhQ,339,Psychodruid,1
pHFAY7Qgjv9fayRN,339,Psychodruid,4
QzNhwagDRZX4FfBA,339,Jampers,2
QzNhwagDRZX4FfBA,339,Earrl,1
vhb4rcfZyYDXWJ1w,339,Psychodruid,1
XDPn6wRcY1BA4JT2,339,Psychodruid,7
6D3kj1MH9qdGRWh7,102359,Psychodruid,41
6D3kj1MH9qdGRWh7,102359,Earrl,20
6D3kj1MH9qdGRWh7,102359,Soome,13
6vGW8nAf4Tr3YXc7,102359,Jampers,1
6vGW8nAf4Tr3YXc7,102359,Earrl,27
6vGW8nAf4Tr3YXc7,102359,Psychodruid,57
6vGW8nAf4Tr3YXc7,102359,Soome,14
BMXcpTVq6knrtzQv,102359,Earrl,7
BMXcpTVq6knrtzQv,102359,Soome,3
BMXcpTVq6knrtzQv,102359,Psychodruid,12
FwdP9AGaWr463RJQ,102359,Soome,27
FwdP9AGaWr463RJQ,102359,Psychodruid,144
FwdP9AGaWr463RJQ,102359,Jampers,9
FwdP9AGaWr463RJQ,102359,Earrl,89
hC3ntdWAZ76vXTY9,102359,Psychodruid,105
hC3ntdWAZ76vXTY9,102359,Jampers,4
hC3ntdWAZ76vXTY9,102359,Earrl,61
nmytFgqjNLAVrGhQ,102359,Psychodruid,96
nmytFgqjNLAVrGhQ,102359,Jampers,15
nmytFgqjNLAVrGhQ,102359,Earrl,59
pHFAY7Qgjv9fayRN,102359,Psychodruid,36
pHFAY7Qgjv9fayRN,102359,Earrl,20
pHFAY7Qgjv9fayRN,102359,Jampers,1
pHFAY7Qgjv9fayRN,102359,Soome,9
QzNhwagDRZX4FfBA,102359,Jampers,78
QzNhwagDRZX4FfBA,102359,Earrl,55
QzNhwagDRZX4FfBA,102359,Psychodruid,9
vhb4rcfZyYDXWJ1w,102359,Earrl,25
vhb4rcfZyYDXWJ1w,102359,Jampers,13
vhb4rcfZyYDXWJ1w,102359,Psychodruid,43
XDPn6wRcY1BA4JT2,102359,Jampers,5
XDPn6wRcY1BA4JT2,102359,Earrl,2
XDPn6wRcY1BA4JT2,102359,Psychodruid,9
6D3kj1MH9qdGRWh7,106839,Earrl,1
nmytFgqjNLAVrGhQ,106839,Earrl,2
pHFAY7Qgjv9fayRN,106839,Earrl,1
QzNhwagDRZX4FfBA,106839,Earrl,4
vhb4rcfZyYDXWJ1w,106839,Earrl,1
6vGW8nAf4Tr3YXc7,1715,Elzam,1
nmytFgqjNLAVrGhQ,187650,Kohbee,1
FwdP9AGaWr463RJQ,187698,Kohbee,1
6D3kj1MH9qdGRWh7,49576,Divanance,48
6D3kj1MH9qdGRWh7,49576,Atalya,13
6vGW8nAf4Tr3YXc7,49576,Divanance,78
BMXcpTVq6knrtzQv,49576,Divanance,18
BMXcpTVq6knrtzQv,49576,Atalya,1
FwdP9AGaWr463RJQ,49576,Divanance,198
FwdP9AGaWr463RJQ,49576,Atalya,22
hC3ntdWAZ76vXTY9,49576,Divanance,146
nmytFgqjNLAVrGhQ,49576,Divanance,120
nmytFgqjNLAVrGhQ,49576,Stradk,43
pHFAY7Qgjv9fayRN,49576,Atalya,7
pHFAY7Qgjv9fayRN,49576,Divanance,46
QzNhwagDRZX4FfBA,49576,Stradk,33
QzNhwagDRZX4FfBA,49576,Divanance,117
vhb4rcfZyYDXWJ1w,49576,Divanance,57
vhb4rcfZyYDXWJ1w,49576,Stradk,19
XDPn6wRcY1BA4JT2,49576,Stradk,11
XDPn6wRcY1BA4JT2,49576,Divanance,13
6D3kj1MH9qdGRWh7,108199,Divanance,4
6vGW8nAf4Tr3YXc7,108199,Divanance,4
BMXcpTVq6knrtzQv,108199,Divanance,2
FwdP9AGaWr463RJQ,108199,Divanance,5
hC3ntdWAZ76vXTY9,108199,Divanance,6
nmytFgqjNLAVrGhQ,108199,Divanance,5
pHFAY7Qgjv9fayRN,108199,Divanance,4
QzNhwagDRZX4FfBA,108199,Divanance,12
vhb4rcfZyYDXWJ1w,108199,Divanance,4
XDPn6wRcY1BA4JT2,108199,Stradk,1
