player,hits,damage_taken,fight_count,primary_role,av_count
Shadowbaine,5.0,1106275.0,73,rdps,0.0684931506849315
Ayriea,14.0,2723773.0,119,rdps,0.11764705882352941
Tahvee,10.0,2032340.0,63,rdps,0.15873015873015872
Irvaeryss,11.0,1821059.0,69,mdps,0.15942028985507245
Elzam,18.0,2827602.0,107,mdps,0.16822429906542055
Metönymy,23.0,2167217.0,134,rdps,0.17164179104477612
Petroll,27.0,4843213.0,134,rdps,0.20149253731343283
Kopyedeep,22.0,3828774.0,104,rdps,0.21153846153846154
Brianjr,29.0,4582038.0,134,mdps,0.21641791044776118
Valmet,30.0,4414522.0,128,mdps,0.234375
Velryssa,16.0,3263617.0,48,mdps,0.3333333333333333
Acturus,45.0,7418196.0,134,healer,0.3358208955223881
Psychodruid,36.0,7353278.0,107,rdps,0.3364485981308411
Caydd,47.0,7888171.0,134,healer,0.35074626865671643
Tawn,32.0,5437302.0,91,rdps,0.3516483516483517
Toyqt,49.0,7597509.0,134,mdps,0.3656716417910448
Atalya,14.0,2410784.0,34,mdps,0.4117647058823529
Jampers,54.0,10020450.0,129,healer,0.4186046511627907
Kohbee,55.0,11266947.0,128,rdps,0.4296875
Illestrae,59.0,11204118.0,134,healer,0.44029850746268656
Mythroes,62.0,13235133.0,134,healer,0.4626865671641791
Soome,30.0,5333656.0,62,rdps,0.4838709677419355
Divinance,76.0,16012001.0,134,tank,0.5671641791044776
Earrl,77.0,14127998.0,134,tank,0.5746268656716418
