player,uses,fight_count,primary_role,av_count
Kiwisoda,892,88,rdps,10.136363636363637
Psychodruid,1174,105,rdps,11.18095238095238
Kopyelock,1237,105,rdps,11.780952380952382
Petrol,1280,105,rdps,12.19047619047619
Ayriea,898,73,rdps,12.301369863013699
Tawn,1308,105,rdps,12.457142857142857
Sumi,1366,105,rdps,13.00952380952381
Shadowbaine,1140,87,rdps,13.10344827586207
Illestra,1391,105,healer,13.247619047619047
Acturus,1473,105,healer,14.028571428571428
Jampers,1530,105,healer,14.571428571428571
Vaelyra,1121,75,mdps,14.946666666666667
Grombrindal,1507,97,mdps,15.536082474226804
Metonymy,1694,105,rdps,16.133333333333333
Katanescence,1702,105,healer,16.20952380952381
Brian,1750,104,mdps,16.826923076923077
Mythrose,1271,75,healer,16.946666666666665
Toy,1241,71,mdps,17.47887323943662
Earrl,8103,105,tank,77.17142857142858
Draigo,8994,105,tank,85.65714285714286
