player,hits,damage_taken,fight_count,primary_role,av_count
Toyqt,46.0,10283109.0,447,mdps,0.1029082774049217
Divinance,54.0,8449189.0,512,tank,0.10546875
Bobbydigital,48.0,10458126.0,375,mdps,0.128
Earrl,69.0,10616780.0,512,tank,0.134765625
Shuxd,70.0,12657083.0,484,mdps,0.1446280991735537
Zodyhunt,72.0,16550797.0,445,rdps,0.16179775280898875
Niccom,72.0,15646559.0,438,mdps,0.1643835616438356
Kopye,71.0,15369756.0,406,rdps,0.1748768472906404
Irvaeryss,80.0,14676272.0,444,mdps,0.18018018018018017
Metonymy,95.0,19156490.0,477,rdps,0.19916142557651992
Ayreia,93.0,20514624.0,436,healer,0.21330275229357798
Petrøl,114.0,24682471.0,512,rdps,0.22265625
Arkamani,115.0,26363995.0,489,rdps,0.23517382413087934
Nockedloose,87.0,19682976.0,364,rdps,0.23901098901098902
Jampers,90.0,18734410.0,361,healer,0.24930747922437674
Mythrose,134.0,28555343.0,499,healer,0.2685370741482966
Shadowbaine,162.0,35018847.0,512,rdps,0.31640625
Apakulli,117.0,24992213.0,337,rdps,0.34718100890207715
Lauly,169.0,32348202.0,367,healer,0.4604904632152589
Luthial,189.0,41075844.0,377,healer,0.5013262599469496
Cunegonde,290.0,66099169.0,387,rdps,0.7493540051679587
Ølympius,277.0,62280693.0,362,rdps,0.7651933701657458
