log_id,spell_id,player,hits,damage_taken
1hRwW7PzVKNL6mrc,318688,Bobbydigital,2,408119
1hRwW7PzVKNL6mrc,318688,Divinance,1,173755
1hRwW7PzVKNL6mrc,318688,Onggor,7,1531724
1hRwW7PzVKNL6mrc,318688,Zodyhunt,3,701267
1hRwW7PzVKNL6mrc,318688,Nockedloose,5,1151546
1hRwW7PzVKNL6mrc,318688,Arkamani,1,234810
1hRwW7PzVKNL6mrc,318688,Toyqt,2,447331
1hRwW7PzVKNL6mrc,318688,Ayreia,4,912441
1hRwW7PzVKNL6mrc,318688,Kopye,2,440371
1hRwW7PzVKNL6mrc,318688,Apakulli,2,439186
1hRwW7PzVKNL6mrc,318688,Cunegonde,18,4151103
1hRwW7PzVKNL6mrc,318688,Niccom,3,610841
1hRwW7PzVKNL6mrc,318688,Irvaeryss,5,900112
1hRwW7PzVKNL6mrc,318688,Earrl,1,171259
1hRwW7PzVKNL6mrc,318688,Mythrose,4,840386
1hRwW7PzVKNL6mrc,318688,Ølympius,8,1657895
1hRwW7PzVKNL6mrc,318688,Luthial,14,2962507
3xgV7bFP46YDaZcz,318688,Bobbydigital,3,587906
3xgV7bFP46YDaZcz,318688,Shadowbaine,7,1488351
3xgV7bFP46YDaZcz,318688,Mythrose,8,1672728
3xgV7bFP46YDaZcz,318688,Zodyhunt,2,467193
3xgV7bFP46YDaZcz,318688,Metonymy,2,403169
3xgV7bFP46YDaZcz,318688,Nockedloose,4,889126
3xgV7bFP46YDaZcz,318688,Voidsp,3,674129
3xgV7bFP46YDaZcz,318688,Petrøl,5,1048348
3xgV7bFP46YDaZcz,318688,Cunegonde,13,3069618
3xgV7bFP46YDaZcz,318688,Arkamani,10,2314819
3xgV7bFP46YDaZcz,318688,Irvaeryss,3,421571
3xgV7bFP46YDaZcz,318688,Onggor,3,596459
3xgV7bFP46YDaZcz,318688,Lauly,16,2941248
3xgV7bFP46YDaZcz,318688,Earrl,2,129756
3xgV7bFP46YDaZcz,318688,Kopye,1,223375
3xgV7bFP46YDaZcz,318688,Niccom,1,220638
3xgV7bFP46YDaZcz,318688,Apakulli,11,2309405
3xgV7bFP46YDaZcz,318688,Divinance,2,310577
3Y7TBD8Wn6ACrL1m,318688,Earrl,1,175128
3Y7TBD8Wn6ACrL1m,318688,Luthial,2,437987
3Y7TBD8Wn6ACrL1m,318688,Apakullii,1,232616
3Y7TBD8Wn6ACrL1m,318688,Petrøl,1,209546
3Y7TBD8Wn6ACrL1m,318688,Deviöus,8,1874745
3Y7TBD8Wn6ACrL1m,318688,Inradhrill,1,237451
3Y7TBD8Wn6ACrL1m,318688,Ølympius,3,674243
