player,hits,damage_taken,fight_count,primary_role,av_count
Nockedloose,40.0,7291846.0,364,rdps,0.10989010989010989
Petrøl,59.0,10232851.0,512,rdps,0.115234375
Ayreia,51.0,9075870.0,436,healer,0.11697247706422019
Arkamani,62.0,11383816.0,489,rdps,0.12678936605316973
Mythrose,72.0,12346318.0,499,healer,0.14428857715430862
Kopye,66.0,11425014.0,406,rdps,0.1625615763546798
Jampers,59.0,9436269.0,361,healer,0.1634349030470914
Metonymy,85.0,13593391.0,477,rdps,0.17819706498951782
Ølympius,69.0,12443384.0,362,rdps,0.19060773480662985
Zodyhunt,85.0,15411640.0,445,rdps,0.19101123595505617
Apakulli,69.0,11534300.0,337,rdps,0.20474777448071216
Shadowbaine,161.0,27507013.0,512,rdps,0.314453125
Shuxd,155.0,21413937.0,484,mdps,0.3202479338842975
Toyqt,147.0,25255136.0,447,mdps,0.3288590604026846
Luthial,142.0,23247251.0,377,healer,0.376657824933687
Bobbydigital,153.0,27170590.0,375,mdps,0.408
Lauly,154.0,23511714.0,367,healer,0.4196185286103542
Niccom,185.0,32737571.0,438,mdps,0.4223744292237443
Irvaeryss,196.0,30197349.0,444,mdps,0.44144144144144143
Cunegonde,177.0,24341518.0,387,rdps,0.4573643410852713
Divinance,531.0,68452998.0,512,tank,1.037109375
Earrl,702.0,82676096.0,512,tank,1.37109375
