player,count,fight_count,primary_role,av_count
Ayreia,560.0,436,healer,1.2844036697247707
Luthial,341.0,377,healer,0.9045092838196287
Jampers,309.0,361,healer,0.8559556786703602
Lauly,289.0,367,healer,0.7874659400544959
Mythrose,366.0,499,healer,0.7334669338677354
Toyqt,28.0,447,mdps,0.06263982102908278
Zodyhunt,0.0,445,rdps,0.0
Shuxd,0.0,484,mdps,0.0
Shadowbaine,0.0,512,rdps,0.0
Petrøl,0.0,512,rdps,0.0
Nockedloose,0.0,364,rdps,0.0
Niccom,0.0,438,mdps,0.0
Apakulli,0.0,337,rdps,0.0
Metonymy,0.0,477,rdps,0.0
Arkamani,0.0,489,rdps,0.0
Kopye,0.0,406,rdps,0.0
Irvaeryss,0.0,444,mdps,0.0
Earrl,0.0,512,tank,0.0
Divinance,0.0,512,tank,0.0
Cunegonde,0.0,387,rdps,0.0
Bobbydigital,0.0,375,mdps,0.0
Ølympius,0.0,362,rdps,0.0
