player,hits,damage_taken,fight_count,primary_role,av_count
Zodyhunt,876.0,114169329.0,432,rdps,2.0277777777777777
Lauly,782.0,94519328.0,368,healer,2.125
Arkamani,1086.0,143423488.0,476,rdps,2.2815126050420167
Bobbydigital,865.0,107244830.0,361,mdps,2.3961218836565097
Toyqt,1044.0,121832752.0,434,mdps,2.4055299539170507
Nockedloose,860.0,111669236.0,351,rdps,2.45014245014245
Niccom,1051.0,133190964.0,425,mdps,2.4729411764705884
Irvaeryss,1112.0,121347755.0,445,mdps,2.498876404494382
Shuxd,1254.0,127117316.0,471,mdps,2.662420382165605
Metonymy,1241.0,152079363.0,464,rdps,2.6745689655172415
Mythrose,1333.0,174662333.0,486,healer,2.742798353909465
Shadowbaine,1382.0,175382462.0,499,rdps,2.7695390781563125
Earrl,1403.0,144571457.0,499,tank,2.811623246492986
Luthial,1036.0,132680657.0,363,healer,2.8539944903581267
Petrøl,1433.0,175396385.0,499,rdps,2.8717434869739478
Divinance,1453.0,138718760.0,499,tank,2.911823647294589
Jampers,1014.0,119603624.0,348,healer,2.913793103448276
Apakulli,957.0,125196281.0,324,rdps,2.9537037037037037
Kopye,1192.0,155187617.0,393,rdps,3.0330788804071247
Cunegonde,1156.0,148973832.0,374,rdps,3.090909090909091
Ayreia,1334.0,172284747.0,423,healer,3.1536643026004727
Ølympius,1390.0,179511697.0,348,rdps,3.9942528735632186
