player,hits,damage_taken,fight_count,primary_role,av_count
Apakulli,0.0,0.0,337,rdps,0.0
Toyqt,0.0,3674654.0,447,mdps,0.0
Shuxd,0.0,0.0,484,mdps,0.0
Shadowbaine,0.0,0.0,512,rdps,0.0
Metonymy,0.0,0.0,477,rdps,0.0
Kopye,0.0,129234.0,406,rdps,0.0
Jampers,0.0,0.0,361,healer,0.0
Lauly,0.0,0.0,367,healer,0.0
Cunegonde,0.0,0.0,387,rdps,0.0
Ayreia,0.0,0.0,436,healer,0.0
Ølympius,0.0,0.0,362,rdps,0.0
Luthial,1.0,184633.0,377,healer,0.002652519893899204
Petrøl,4.0,3445367.0,512,rdps,0.0078125
Zodyhunt,6.0,748215.0,445,rdps,0.01348314606741573
Arkamani,8.0,2392275.0,489,rdps,0.016359918200409
Nockedloose,8.0,1964179.0,364,rdps,0.02197802197802198
Earrl,15.0,2051026.0,512,tank,0.029296875
Divinance,16.0,2780063.0,512,tank,0.03125
Niccom,24.0,7227016.0,438,mdps,0.0547945205479452
Bobbydigital,25.0,7229997.0,375,mdps,0.06666666666666667
Irvaeryss,31.0,8627351.0,444,mdps,0.06981981981981981
Mythrose,35.0,4395078.0,499,healer,0.07014028056112225
