player,count,fight_count,primary_role,av_count
Shuxd,3017.0,484,mdps,6.233471074380165
Niccom,2482.0,438,mdps,5.666666666666667
Bobbydigital,1921.0,375,mdps,5.1226666666666665
Zodyhunt,2244.0,445,rdps,5.042696629213483
Ølympius,1674.0,362,rdps,4.624309392265193
Kopye,1823.0,406,rdps,4.490147783251231
Nockedloose,1386.0,364,rdps,3.8076923076923075
Irvaeryss,1496.0,444,mdps,3.369369369369369
Toyqt,1480.0,447,mdps,3.3109619686800893
Divinance,1459.0,512,tank,2.849609375
Petrøl,1437.0,512,rdps,2.806640625
Arkamani,1298.0,489,rdps,2.65439672801636
Earrl,1344.0,512,tank,2.625
Metonymy,1025.0,477,rdps,2.148846960167715
Luthial,610.0,377,healer,1.6180371352785146
Jampers,352.0,361,healer,0.9750692520775623
Apakulli,211.0,337,rdps,0.6261127596439169
Lauly,137.0,367,healer,0.37329700272479566
Cunegonde,112.0,387,rdps,0.28940568475452194
Mythrose,0.0,499,healer,0.0
Shadowbaine,0.0,512,rdps,0.0
