player,hits,damage_taken,fight_count,primary_role,av_count
Earrl,0.0,0.0,512,tank,0.0
Divinance,0.0,0.0,512,tank,0.0
Shuxd,2444.0,83378929.0,484,mdps,5.049586776859504
Lauly,2210.0,78721685.0,367,healer,6.021798365122616
Kopye,2496.0,109358354.0,406,rdps,6.147783251231527
Ayreia,2810.0,110779644.0,436,healer,6.444954128440367
Petrøl,3319.0,156051837.0,512,rdps,6.482421875
Metonymy,3105.0,142773730.0,477,rdps,6.509433962264151
Irvaeryss,2932.0,118009879.0,444,mdps,6.603603603603603
Niccom,2904.0,134919313.0,438,mdps,6.63013698630137
Zodyhunt,3003.0,135824034.0,445,rdps,6.748314606741573
Mythrose,3368.0,158580228.0,499,healer,6.749498997995992
Arkamani,3304.0,153195398.0,489,rdps,6.7566462167689165
Toyqt,3160.0,131792083.0,447,mdps,7.069351230425056
Shadowbaine,3642.0,162235973.0,512,rdps,7.11328125
Nockedloose,2610.0,124757373.0,364,rdps,7.170329670329671
Bobbydigital,2794.0,137433086.0,375,mdps,7.450666666666667
Ølympius,2721.0,126070038.0,362,rdps,7.516574585635359
Apakulli,2549.0,120150535.0,337,rdps,7.563798219584569
Jampers,3088.0,145411225.0,361,healer,8.554016620498615
Luthial,3270.0,146833484.0,377,healer,8.673740053050398
Cunegonde,3626.0,179546870.0,387,rdps,9.369509043927648
