player,amount,fight_count,primary_role,av_count
Kopye,4515.0,406,rdps,11.120689655172415
Toyqt,5010.0,447,mdps,11.208053691275168
Zodyhunt,5030.0,445,rdps,11.303370786516854
Ayreia,5205.0,436,healer,11.938073394495413
Petrøl,6370.0,512,rdps,12.44140625
Metonymy,5975.0,477,rdps,12.526205450733753
Shuxd,6250.0,484,mdps,12.913223140495868
Nockedloose,4835.0,364,rdps,13.282967032967033
Arkamani,6535.0,489,rdps,13.3640081799591
Jampers,5230.0,361,healer,14.487534626038782
Bobbydigital,5595.0,375,mdps,14.92
Mythrose,7995.0,499,healer,16.022044088176354
Niccom,7300.0,438,mdps,16.666666666666668
Irvaeryss,7985.0,444,mdps,17.984234234234233
Apakulli,6645.0,337,rdps,19.718100890207715
Shadowbaine,10510.0,512,rdps,20.52734375
Divinance,13290.0,512,tank,25.95703125
Lauly,10685.0,367,healer,29.114441416893733
Luthial,11360.0,377,healer,30.132625994694962
Earrl,17370.0,512,tank,33.92578125
Ølympius,13845.0,362,rdps,38.24585635359116
Cunegonde,16590.0,387,rdps,42.86821705426357
