player,hits,damage_taken,fight_count,primary_role,av_count
Niccom,6.0,2499232.0,438,mdps,0.0136986301369863
Jampers,5.0,1903996.0,361,healer,0.013850415512465374
Toyqt,8.0,2573363.0,447,mdps,0.017897091722595078
Divinance,11.0,3389058.0,512,tank,0.021484375
Apakulli,9.0,3757225.0,337,rdps,0.026706231454005934
Metonymy,14.0,5351868.0,477,rdps,0.029350104821802937
Lauly,11.0,4169113.0,367,healer,0.02997275204359673
Zodyhunt,14.0,5714747.0,445,rdps,0.03146067415730337
Luthial,12.0,4819678.0,377,healer,0.03183023872679045
Irvaeryss,15.0,5326841.0,444,mdps,0.033783783783783786
Arkamani,17.0,6997774.0,489,rdps,0.034764826175869123
Shuxd,17.0,5262502.0,484,mdps,0.03512396694214876
Shadowbaine,18.0,7235744.0,512,rdps,0.03515625
Ayreia,16.0,6515515.0,436,healer,0.03669724770642202
Kopye,15.0,5937402.0,406,rdps,0.03694581280788178
Bobbydigital,15.0,5420501.0,375,mdps,0.04
Petrøl,23.0,8804928.0,512,rdps,0.044921875
Mythrose,26.0,10826968.0,499,healer,0.052104208416833664
Earrl,27.0,7907999.0,512,tank,0.052734375
Nockedloose,20.0,8118560.0,364,rdps,0.054945054945054944
Ølympius,20.0,8062700.0,362,rdps,0.055248618784530384
Cunegonde,26.0,10424619.0,387,rdps,0.06718346253229975
