player,hits,damage_taken,fight_count,primary_role,av_count
Acturus,7.0,928742.0,90,healer,0.07777777777777778
Divinance,11.0,1124574.0,90,tank,0.12222222222222222
Velryssa,4.0,1328444.0,30,mdps,0.13333333333333333
Illestrae,19.0,3889534.0,90,healer,0.2111111111111111
Kohbee,22.0,5316205.0,87,rdps,0.25287356321839083
Ayriea,26.0,5055767.0,80,rdps,0.325
Toyqt,29.0,7034668.0,87,mdps,0.3333333333333333
Tawn,29.0,6340687.0,86,rdps,0.3372093023255814
Valmet,32.0,5928077.0,90,mdps,0.35555555555555557
Earrl,34.0,3854306.0,90,tank,0.37777777777777777
Stradivarus,23.0,3856130.0,60,rdps,0.38333333333333336
Elzam,32.0,4731975.0,78,mdps,0.41025641025641024
Psychodruid,38.0,7325156.0,86,rdps,0.4418604651162791
Irvaeryss,39.0,5035168.0,83,mdps,0.46987951807228917
Metönymy,46.0,9103217.0,90,rdps,0.5111111111111111
Brianjr,47.0,9458877.0,90,mdps,0.5222222222222223
Petroll,50.0,9360975.0,90,rdps,0.5555555555555556
Shadowbaine,26.0,5516131.0,46,rdps,0.5652173913043478
Mythroes,43.0,10877932.0,69,healer,0.6231884057971014
Kopyedeep,32.0,4889854.0,47,rdps,0.6808510638297872
Ultray,58.0,10625553.0,77,rdps,0.7532467532467533
Jampers,70.0,15445572.0,90,healer,0.7777777777777778
