player,count,fight_count,primary_role,av_count
Bobbydigital,1061,1264.0,mdps,0.8393987341772152
Apakulli,574,705.0,rdps,0.8141843971631205
Kopye,806,1226.0,rdps,0.6574225122349103
Petrøl,977,1507.0,rdps,0.648307896483079
Shuxd,450,697.0,mdps,0.6456241032998565
Niccom,846,1312.0,mdps,0.6448170731707317
Toyqt,737,1147.0,mdps,0.6425457715780296
Dzkillingme,340,615.0,mdps,0.5528455284552846
Owoo,352,662.0,mdps,0.5317220543806647
Lauly,488,1061.0,healer,0.4599434495758718
Ølympius,530,1199.0,rdps,0.44203502919099247
Nockedloose,457,1053.0,rdps,0.43399810066476735
Shadowbaine,547,1334.0,rdps,0.41004497751124436
Zodyhunt,202,553.0,rdps,0.36528028933092227
Divinance,513,1486.0,tank,0.3452220726783311
Voidsp,341,992.0,rdps,0.34375
Luthial,340,1074.0,healer,0.3165735567970205
Metonymy,379,1470.0,rdps,0.2578231292517007
Cunegonde,264,1053.0,rdps,0.25071225071225073
Earrl,377,1508.0,tank,0.25
Mythrose,362,1467.0,healer,0.24676209952283573
Arkamani,138,648.0,rdps,0.21296296296296297
Irvaeryss,245,1232.0,mdps,0.19886363636363635
Jampers,234,1238.0,healer,0.1890145395799677
Ayreia,101,1038.0,healer,0.09730250481695568
