player,hits,damage_taken,fight_count,per_fight
Vaelyra,67999962,67999962,7,9714280.285714285
Velryssa,73198481,73198481,6,12199746.833333334
Sumi,77977044,77977044,7,11139577.714285715
Katanescence,79555402,79555402,6,13259233.666666666
Vampyric,82120301,82120301,6,13686716.833333334
Shadowbaine,91207929,91207929,6,15201321.5
Stradlock,93840933,93840933,7,13405847.57142857
Grombrindal,106294294,106294294,6,17715715.666666668
Metonymy,106353256,106353256,8,13294157.0
Petrol,109497285,109497285,8,13687160.625
Toy,109502730,109502730,7,15643247.142857144
Tawn,109803511,109803511,8,13725438.875
Illestra,111064261,111064261,7,15866323.0
Psychodruid,113817240,113817240,7,16259605.714285715
Ayriea,114822440,114822440,8,14352805.0
Jampers,116059620,116059620,8,14507452.5
Acturus,120557589,120557589,8,15069698.625
Mythrose,122997207,122997207,7,17571029.57142857
Brian,124520433,124520433,8,15565054.125
Earrl,358464949,358464949,8,44808118.625
Draigo,418024939,418024939,8,52253117.375
