player,uses,fight_count,primary_role,av_count
Sumi,601.0,477,rdps,1.259958071278826
Uuglei,302.0,268,mdps,1.126865671641791
Brian,838.0,764,mdps,1.0968586387434556
Metonymy,864.0,804,rdps,1.0746268656716418
Stradlock,651.0,636,rdps,1.0235849056603774
Kopyelock,551.0,548,rdps,1.0054744525547445
Shadowbaine,651.0,664,rdps,0.9804216867469879
Tawn,664.0,703,rdps,0.9445234708392604
Petrol,739.0,808,rdps,0.9146039603960396
Draigo,705.0,808,tank,0.8725247524752475
Earrl,642.0,807,tank,0.7955390334572491
Toy,521.0,677,mdps,0.7695716395864106
Ayriea,538.0,758,rdps,0.7097625329815304
Grombrindal,426.0,705,mdps,0.6042553191489362
Vampyric,336.0,630,mdps,0.5333333333333333
Liavre,144.0,273,mdps,0.5274725274725275
Velryssa,279.0,591,mdps,0.4720812182741117
Psychodruid,287.0,675,rdps,0.42518518518518517
Vaelyra,239.0,639,mdps,0.37402190923317685
Mythrose,122.0,702,healer,0.1737891737891738
Illestra,96.0,747,healer,0.1285140562248996
Velsummers,34.0,271,healer,0.12546125461254612
Katanescence,43.0,392,healer,0.1096938775510204
Acturus,69.0,762,healer,0.09055118110236221
Jampers,61.0,756,healer,0.08068783068783068
