player,damage_done,fight_count,primary_role,av_count
Vaelyra,8130174136,62,damage,131131840.90322581
Velryssa,5091633176,39,damage,130554696.82051282
Future,7790329412,61,damage,127710318.22950819
Petrol,7797206525,62,damage,125761395.56451613
Psychodruid,4442523437,38,damage,116908511.5
Metonymy,7110291810,61,damage,116562160.81967214
Tinytiki,3121877855,31,damage,100705737.25806452
Brian,5773356929,62,damage,93118660.14516129
Shadowbaine,5293680619,62,damage,85381945.46774194
Googboog,3582604243,42,damage,85300101.02380952
Cagliostro,4089895649,52,damage,78651839.40384616
Au,4659106627,62,damage,75146881.08064516
Kamer,2419826167,37,damage,65400707.216216214
Shallowfall,2794733345,62,damage,45076344.27419355
Ayriea,2415400302,57,damage,42375443.89473684
Earrl,1759647983,62,tank,28381419.080645163
Divanance,1019343072,62,tank,16441017.290322581
Illestra,219310175,62,healer,3537260.8870967743
Acturus,165919634,62,healer,2676123.129032258
Mythrose,97919599,62,healer,1579348.3709677418
Radiantldeal,29225713,62,healer,471382.46774193546
