player,count,fight_count,primary_role,av_count
Future,1148,61,damage,18.81967213114754
Metonymy,387,61,damage,6.344262295081967
Petrol,320,62,damage,5.161290322580645
Tinytiki,121,31,damage,3.903225806451613
Shallowfall,241,62,damage,3.8870967741935485
Googboog,121,42,damage,2.880952380952381
Psychodruid,109,38,damage,2.8684210526315788
Ayriea,159,57,damage,2.789473684210526
Cagliostro,140,52,damage,2.6923076923076925
Bryiah,42,16,damage,2.625
Brian,150,62,damage,2.4193548387096775
Cinzia,23,14,damage,1.6428571428571428
Vaelyra,95,62,damage,1.532258064516129
Velryssa,56,39,damage,1.435897435897436
Divanance,54,62,tank,0.8709677419354839
Illestra,53,62,healer,0.8548387096774194
Kamer,24,37,damage,0.6486486486486487
Au,24,62,damage,0.3870967741935484
Earrl,13,62,tank,0.20967741935483872
