player,spell_name,duration
Acturus,old war,3220369.0
Aqurn,prolonged power,1151747.0
Arutemisu,prolonged power,416614.0
Au,old war,3942000.0
Au,prolonged power,53950237.0
Ayriea,prolonged power,133517608.0
Brian,old war,663765.0
Brian,prolonged power,43975275.6
Bryiah,old war,11304041.0
Cagliostro,old war,19741279.0
Cagliostro,prolonged power,63148975.0
Chomskey,prolonged power,258220.0
Cinzia,prolonged power,10719571.0
Daffy,prolonged power,20655756.0
Delacram,prolonged power,268736.0
Demonhoney,prolonged power,2292637.0
Divanance,prolonged power,119127410.0
Earrl,prolonged power,115989819.0
Eleint,prolonged power,25855211.0
Evayne,prolonged power,118127.0
Future,prolonged power,39367675.0
Googboog,prolonged power,25115463.0
Humanraptor,prolonged power,380546.0
Illestra,prolonged power,64016232.0
Kamer,old war,22684945.0
Kamer,prolonged power,2295505.0
Katanescence,prolonged power,1000161.0
Kyarrix,prolonged power,20925834.0
Metonymy,prolonged power,133912504.0
Mohgul,prolonged power,967562.0
Msmockingjay,prolonged power,915626.0
Mythrose,prolonged power,644609.0
Oakinon,prolonged power,198571.0
Petrol,prolonged power,155910284.0
Psychodruid,prolonged power,108761091.0
Pulsè,prolonged power,24972441.0
Radiantldeal,prolonged power,112184343.0
Resta,prolonged power,273942.0
Severos,prolonged power,795485.0
Shaami,prolonged power,14945181.0
Shadowbaine,deadly grace,24918.0
Shadowbaine,prolonged power,125985777.0
Shallowfall,prolonged power,119039560.0
Stradivarus,old war,33228575.0
Stradivarus,prolonged power,1049859.0
Tawñ,prolonged power,53997033.0
Tinytiki,prolonged power,34248359.0
Undertakerop,prolonged power,1562558.0
Uuglei,old war,15158258.0
Uuglei,prolonged power,9868565.0
Vaelyra,old war,5803534.0
Vaelyra,prolonged power,59230584.0
Velryssa,old war,35091696.0
Velryssa,prolonged power,13090855.0
Velsummers,prolonged power,25316473.0
Verle,prolonged power,1149033.0
Yoked,prolonged power,395510.0
Zephyyra,prolonged power,58488.0
Èllipses,prolonged power,47047512.0
