player,hits,damage_taken,fight_count,primary_role,av_count
Caydd,29.0,1879786.0,67,healer,0.43283582089552236
Ultray,18.0,1216863.0,39,rdps,0.46153846153846156
Velryssa,12.0,805726.0,18,mdps,0.6666666666666666
Jampers,45.0,2965738.0,67,healer,0.6716417910447762
Elzam,43.0,2859860.0,59,mdps,0.7288135593220338
Mythroes,33.0,2214042.0,40,healer,0.825
Irvaeryss,40.0,2323683.0,48,mdps,0.8333333333333334
Acturus,56.0,3412450.0,67,healer,0.835820895522388
Tahvee,42.0,2941275.0,49,rdps,0.8571428571428571
Earrl,59.0,3248525.0,67,tank,0.8805970149253731
Stradivarus,30.0,1902538.0,33,rdps,0.9090909090909091
Kopyedeep,47.0,3130282.0,49,rdps,0.9591836734693877
Ayriea,56.0,3808965.0,57,rdps,0.9824561403508771
Metönymy,66.0,4420604.0,67,rdps,0.9850746268656716
Valmet,69.0,3939040.0,67,mdps,1.0298507462686568
Tawn,54.0,3648910.0,49,rdps,1.1020408163265305
Kohbee,53.0,3666489.0,47,rdps,1.127659574468085
Toyqt,47.0,2908385.0,38,mdps,1.236842105263158
Divinance,84.0,4126117.0,67,tank,1.2537313432835822
Psychodruid,91.0,5882082.0,67,rdps,1.3582089552238805
Illestrae,78.0,4956236.0,56,healer,1.3928571428571428
Petroll,99.0,6629793.0,67,rdps,1.4776119402985075
Brianjr,111.0,7579288.0,67,mdps,1.6567164179104477
Atalya,30.0,1992812.0,18,mdps,1.6666666666666667
Shadowbaine,88.0,5847358.0,52,rdps,1.6923076923076923
Soome,45.0,2937578.0,18,rdps,2.5
