player,hits,damage_taken,fight_count,primary_role,av_count
Metönymy,45.0,1478908.0,67,rdps,0.6716417910447762
Tawn,54.0,1937945.0,49,rdps,1.1020408163265305
Soome,36.0,1083266.0,18,rdps,2.0
Kohbee,94.0,3460934.0,47,rdps,2.0
Divinance,156.0,4945511.0,67,tank,2.328358208955224
Jampers,159.0,4891805.0,67,healer,2.373134328358209
Stradivarus,79.0,2773530.0,33,rdps,2.393939393939394
Kopyedeep,122.0,3676913.0,49,rdps,2.489795918367347
Elzam,153.0,5011727.0,59,mdps,2.593220338983051
Brianjr,174.0,5982732.0,67,mdps,2.5970149253731343
Shadowbaine,144.0,4664990.0,52,rdps,2.769230769230769
Valmet,191.0,5190403.0,67,mdps,2.8507462686567164
Psychodruid,191.0,6355493.0,67,rdps,2.8507462686567164
Caydd,192.0,6162721.0,67,healer,2.8656716417910446
Irvaeryss,139.0,3312212.0,48,mdps,2.8958333333333335
Toyqt,111.0,3563054.0,38,mdps,2.9210526315789473
Acturus,198.0,6315583.0,67,healer,2.955223880597015
Petroll,202.0,6828849.0,67,rdps,3.014925373134328
Ultray,118.0,3882951.0,39,rdps,3.0256410256410255
Ayriea,177.0,5973359.0,57,rdps,3.1052631578947367
Earrl,234.0,6286406.0,67,tank,3.4925373134328357
Tahvee,174.0,5820081.0,49,rdps,3.5510204081632653
Atalya,70.0,2362294.0,18,mdps,3.888888888888889
Mythroes,168.0,5394964.0,40,healer,4.2
Illestrae,300.0,9612848.0,56,healer,5.357142857142857
Velryssa,97.0,3367561.0,18,mdps,5.388888888888889
