log_id,spell_id,player,hits,damage_taken
4yqhHd78P6JmxVgA,285044,Psychodruid,27,878436
4yqhHd78P6JmxVgA,285044,Velryssa,45,1540246
4yqhHd78P6JmxVgA,285044,Toyqt,27,877254
4yqhHd78P6JmxVgA,285044,Caydd,6,205752
4yqhHd78P6JmxVgA,285044,Irvaeryss,27,588025
4yqhHd78P6JmxVgA,285044,Shadowbaine,9,240647
4yqhHd78P6JmxVgA,285044,Petroll,9,308925
4yqhHd78P6JmxVgA,285044,Jampers,30,958303
4yqhHd78P6JmxVgA,285044,Brianjr,18,606588
4yqhHd78P6JmxVgA,285044,Stradivarus,10,447942
4yqhHd78P6JmxVgA,285044,Valmet,1,29491
4yqhHd78P6JmxVgA,285044,Ayriea,1,34811
4yqhHd78P6JmxVgA,285044,Earrl,19,505991
4yqhHd78P6JmxVgA,285044,Kopyedeep,9,237396
4yqhHd78P6JmxVgA,285044,Mythroes,34,1077706
4yqhHd78P6JmxVgA,285044,Metönymy,2,67668
4yqhHd78P6JmxVgA,285044,Acturus,9,295665
AXrNYJ197F2dQtGx,285044,Mythroes,27,857500
AXrNYJ197F2dQtGx,285044,Divinance,9,298565
AXrNYJ197F2dQtGx,285044,Metönymy,9,295909
AXrNYJ197F2dQtGx,285044,Tawn,2,64947
AXrNYJ197F2dQtGx,285044,Earrl,18,388390
AXrNYJ197F2dQtGx,285044,Shadowbaine,13,398566
AXrNYJ197F2dQtGx,285044,Brianjr,3,103090
AXrNYJ197F2dQtGx,285044,Illestrae,23,753043
AXrNYJ197F2dQtGx,285044,Jampers,13,426069
AXrNYJ197F2dQtGx,285044,Caydd,3,102876
AXrNYJ197F2dQtGx,285044,Valmet,9,194649
AXrNYJ197F2dQtGx,285044,Stradivarus,16,558976
AXrNYJ197F2dQtGx,285044,Elzam,18,601802
AXrNYJ197F2dQtGx,285044,Petroll,7,240282
AXrNYJ197F2dQtGx,285044,Tahvee,23,770357
AXrNYJ197F2dQtGx,285044,Psychodruid,12,401873
AXrNYJ197F2dQtGx,285044,Ultray,26,885628
BMXcpTVq6knrtzQv,285044,Metönymy,5,168885
BMXcpTVq6knrtzQv,285044,Earrl,40,1274066
BMXcpTVq6knrtzQv,285044,Shadowbaine,28,977708
BMXcpTVq6knrtzQv,285044,Acturus,41,1458361
BMXcpTVq6knrtzQv,285044,Psychodruid,38,1295988
BMXcpTVq6knrtzQv,285044,Ayriea,14,484981
BMXcpTVq6knrtzQv,285044,Caydd,51,1613717
BMXcpTVq6knrtzQv,285044,Kopyedeep,26,929188
BMXcpTVq6knrtzQv,285044,Petroll,23,781228
