player,hits,damage_taken,fight_count,primary_role,av_count
Caydd,1.0,126015.0,147,healer,0.006802721088435374
Brianjr,2.0,241348.0,205,mdps,0.00975609756097561
Ayriea,3.0,406132.0,191,rdps,0.015706806282722512
Irvaeryss,3.0,280021.0,150,mdps,0.02
Velryssa,5.0,581555.0,205,mdps,0.024390243902439025
Kohbee,6.0,673606.0,205,rdps,0.02926829268292683
Divinance,8.0,641589.0,205,tank,0.03902439024390244
Mythroes,8.0,1046429.0,205,healer,0.03902439024390244
Soome,8.0,944613.0,205,rdps,0.03902439024390244
Toyqt,5.0,582647.0,103,mdps,0.04854368932038835
Tahvee,9.0,1147475.0,171,rdps,0.05263157894736842
Metönymy,11.0,1394827.0,205,rdps,0.05365853658536585
Jampers,8.0,999270.0,89,healer,0.0898876404494382
Petroll,25.0,2977807.0,205,rdps,0.12195121951219512
Tawn,34.0,4185439.0,205,rdps,0.16585365853658537
Kopyedeep,35.0,3764125.0,205,rdps,0.17073170731707318
Earrl,36.0,3363241.0,205,tank,0.17560975609756097
Shadowbaine,39.0,4662707.0,205,rdps,0.1902439024390244
Acturus,37.0,3988589.0,174,healer,0.21264367816091953
Illestrae,54.0,6052986.0,205,healer,0.2634146341463415
Psychodruid,62.0,6943342.0,205,rdps,0.3024390243902439
Valmet,69.0,6172233.0,205,mdps,0.33658536585365856
