player,hits,damage_taken,fight_count,primary_role,av_count
Earrl,57.0,2392117.0,205,tank,0.2780487804878049
Divinance,63.0,2468940.0,205,tank,0.3073170731707317
Acturus,149.0,8445843.0,174,healer,0.8563218390804598
Psychodruid,186.0,10764180.0,205,rdps,0.9073170731707317
Kopyedeep,191.0,11026023.0,205,rdps,0.9317073170731708
Petroll,218.0,12926209.0,205,rdps,1.0634146341463415
Metönymy,218.0,12745053.0,205,rdps,1.0634146341463415
Valmet,259.0,11904295.0,205,mdps,1.2634146341463415
Tawn,269.0,16123487.0,205,rdps,1.3121951219512196
Illestrae,271.0,14627660.0,205,healer,1.3219512195121952
Shadowbaine,286.0,16879099.0,205,rdps,1.395121951219512
Brianjr,298.0,18137674.0,205,mdps,1.4536585365853658
Irvaeryss,247.0,12920096.0,150,mdps,1.6466666666666667
Caydd,253.0,14263675.0,147,healer,1.7210884353741496
Tahvee,312.0,19071295.0,171,rdps,1.8245614035087718
Kohbee,378.0,23251981.0,205,rdps,1.8439024390243903
Jampers,173.0,9914109.0,89,healer,1.9438202247191012
Soome,404.0,24381068.0,205,rdps,1.9707317073170731
Ayriea,377.0,22738816.0,191,rdps,1.9738219895287958
Velryssa,421.0,25037916.0,205,mdps,2.053658536585366
Toyqt,238.0,13885494.0,103,mdps,2.3106796116504853
Mythroes,482.0,29461268.0,205,healer,2.351219512195122
