player,hits,damage_taken,fight_count,primary_role,av_count
Caydd,4.0,348106.0,147,healer,0.027210884353741496
Velryssa,9.0,1048760.0,205,mdps,0.04390243902439024
Irvaeryss,7.0,636830.0,150,mdps,0.04666666666666667
Kohbee,10.0,1099644.0,205,rdps,0.04878048780487805
Valmet,11.0,1019871.0,205,mdps,0.05365853658536585
Petroll,12.0,1363728.0,205,rdps,0.05853658536585366
Kopyedeep,13.0,1547433.0,205,rdps,0.06341463414634146
Metönymy,18.0,1943745.0,205,rdps,0.08780487804878048
Acturus,16.0,1692221.0,174,healer,0.09195402298850575
Soome,21.0,2224511.0,205,rdps,0.1024390243902439
Illestrae,22.0,2118323.0,205,healer,0.1073170731707317
Tawn,23.0,2504276.0,205,rdps,0.11219512195121951
Brianjr,24.0,2823180.0,205,mdps,0.11707317073170732
Earrl,25.0,2110537.0,205,tank,0.12195121951219512
Ayriea,26.0,2931763.0,191,rdps,0.13612565445026178
Tahvee,26.0,2902026.0,171,rdps,0.15204678362573099
Divinance,33.0,2626421.0,205,tank,0.16097560975609757
Shadowbaine,34.0,3804300.0,205,rdps,0.16585365853658537
Psychodruid,37.0,4154707.0,205,rdps,0.18048780487804877
Jampers,18.0,1913949.0,89,healer,0.20224719101123595
Toyqt,22.0,2164129.0,103,mdps,0.21359223300970873
Mythroes,44.0,4911461.0,205,healer,0.2146341463414634
