player_name,primary_role,boss_id,boss_name,percentile,ilevel,spec,metric,ranking_date
Irvaeryss,mdps,2263,Grong,22,403,Havoc,dps,2019-02-27
Irvaeryss,mdps,2265,Champion of the Light,60,402,Havoc,dps,2019-02-27
Irvaeryss,mdps,2266,Jadefire Masters,46,403,Havoc,dps,2019-02-27
Irvaeryss,mdps,2268,Conclave of the Chosen,37,403,Havoc,dps,2019-03-01
Irvaeryss,mdps,2271,Opulence,79,403,Havoc,dps,2019-02-28
Metönymy,rdps,2263,Grong,48,409,Frost,dps,2019-03-06
Metönymy,rdps,2265,Champion of the Light,58,409,Frost,dps,2019-03-06
Metönymy,rdps,2266,Jadefire Masters,82,406,Frost,dps,2019-02-20
Metönymy,rdps,2268,Conclave of the Chosen,19,410,Frost,dps,2019-03-06
Metönymy,rdps,2271,Opulence,95,407,Frost,dps,2019-02-22
Metönymy,rdps,2272,King Rastakhan,6,410,Frost,dps,2019-03-07
Brianjr,mdps,2263,Grong,80,409,Assassination,dps,2019-03-06
Brianjr,mdps,2265,Champion of the Light,83,408,Assassination,dps,2019-02-27
Brianjr,mdps,2266,Jadefire Masters,61,404,Assassination,dps,2019-02-14
Brianjr,mdps,2268,Conclave of the Chosen,88,409,Assassination,dps,2019-03-01
Brianjr,mdps,2271,Opulence,68,406,Assassination,dps,2019-02-22
Brianjr,mdps,2272,King Rastakhan,67,410,Assassination,dps,2019-03-07
Petroll,rdps,2263,Grong,60,404,Frost,dps,2019-02-20
Petroll,rdps,2265,Champion of the Light,87,410,Frost,dps,2019-03-06
Petroll,rdps,2266,Jadefire Masters,57,402,Frost,dps,2019-02-14
Petroll,rdps,2268,Conclave of the Chosen,9,410,Frost,dps,2019-03-06
Petroll,rdps,2271,Opulence,28,407,Frost,dps,2019-02-22
Petroll,rdps,2272,King Rastakhan,14,411,Frost,dps,2019-03-07
Ayriea,rdps,2263,Grong,65,407,Marksmanship,dps,2019-03-06
Ayriea,rdps,2265,Champion of the Light,79,407,Marksmanship,dps,2019-03-06
Ayriea,rdps,2266,Jadefire Masters,51,407,Marksmanship,dps,2019-03-06
Ayriea,rdps,2268,Conclave of the Chosen,64,408,Marksmanship,dps,2019-03-01
Ayriea,rdps,2271,Opulence,63,407,Marksmanship,dps,2019-03-06
Ayriea,rdps,2272,King Rastakhan,49,408,Marksmanship,dps,2019-03-07
Stradivarus,rdps,2263,Grong,87,407,Shadow,dps,2019-02-27
Stradivarus,rdps,2265,Champion of the Light,77,404,Shadow,dps,2019-02-20
Stradivarus,rdps,2266,Jadefire Masters,72,405,Shadow,dps,2019-02-20
Stradivarus,rdps,2268,Conclave of the Chosen,91,409,Shadow,dps,2019-03-06
Stradivarus,rdps,2271,Opulence,94,406,Shadow,dps,2019-02-22
Stradivarus,rdps,2272,King Rastakhan,40,409,Shadow,dps,2019-03-07
Earrl,tank,2263,Grong,60,403,Guardian,tankhps,2019-02-14
Earrl,tank,2265,Champion of the Light,87,401,Guardian,tankhps,2019-02-14
Earrl,tank,2266,Jadefire Masters,32,410,Guardian,tankhps,2019-03-06
Earrl,tank,2268,Conclave of the Chosen,56,410,Guardian,tankhps,2019-03-06
Earrl,tank,2271,Opulence,18,409,Guardian,tankhps,2019-02-28
Earrl,tank,2272,King Rastakhan,12,410,Guardian,tankhps,2019-03-07
Illestrae,healer,2266,Jadefire Masters,26,400,Restoration,hps,2019-02-20
Illestrae,healer,2268,Conclave of the Chosen,57,404,Restoration,hps,2019-03-06
Illestrae,healer,2271,Opulence,49,401,Restoration,hps,2019-02-28
Illestrae,healer,2272,King Rastakhan,13,404,Restoration,hps,2019-03-07
Illestrae,healer,2263,Grong,64,401,Restoration,hps,2019-02-27
Illestrae,healer,2265,Champion of the Light,55,401,Restoration,hps,2019-02-27
Elzam,mdps,2263,Grong,61,411,Arms,dps,2019-03-06
Elzam,mdps,2265,Champion of the Light,86,411,Arms,dps,2019-03-06
Elzam,mdps,2266,Jadefire Masters,79,408,Arms,dps,2019-02-27
Elzam,mdps,2268,Conclave of the Chosen,90,409,Arms,dps,2019-03-01
Elzam,mdps,2271,Opulence,96,408,Arms,dps,2019-02-28
Elzam,mdps,2272,King Rastakhan,30,412,Arms,dps,2019-03-07
Tawn,rdps,2263,Grong,80,409,Frost,dps,2019-02-27
Tawn,rdps,2265,Champion of the Light,81,409,Frost,dps,2019-02-27
Tawn,rdps,2266,Jadefire Masters,58,410,Frost,dps,2019-03-06
Tawn,rdps,2268,Conclave of the Chosen,34,410,Frost,dps,2019-03-01
Tawn,rdps,2271,Opulence,47,409,Frost,dps,2019-03-06
Tawn,rdps,2272,King Rastakhan,39,411,Frost,dps,2019-03-07
Divinance,tank,2263,Grong,26,403,Brewmaster,tankhps,2019-02-27
Divinance,tank,2265,Champion of the Light,42,398,Brewmaster,tankhps,2019-02-07
Divinance,tank,2266,Jadefire Masters,9,403,Brewmaster,tankhps,2019-02-27
