player,primary_role,alt,tier_end,tier_start
Vaelyra,dps,,True,True
Metonymy,dps,,True,True
Brian,dps,Brianmurican,True,True
Shaami,hps,,True,False
Petrol,dps,,True,True
Ayriea,dps,,True,True
Stradivarus,dps,,True,False
Uuglei,dps,,True,False
Earrl,tankhps,,True,True
Illestra,hps,,True,True
Kamer,dps,,True,True
Cagliostro,dps,Elzam,True,True
Shallowfall,dps,,True,True
Tawñ,dps,,True,False
Divanance,tankhps,,True,True
Psychodruid,dps,,True,True
Katanescence,hps,,False,False
Velsummers,dps,,True,False
Radiantldeal,hps,,True,True
Mythrose,hps,,True,True
Shadowbaine,dps,,True,True
Acturus,hps,,True,True
Velryssa,dps,,True,True
Eleint,dps,,False,False
Tinytiki,dps,,True,True
Daffy,hps,,True,True
Demonhoney,dps,,False,False
Èllipses,dps,Thebadlock,False,True
Au,dps,,False,True
Future,dps,Znoch,False,True
Pulsè,dps,,False,False
Undertakerop,dps,,False,False
Kyarrix,dps,,False,False
Yoked,dps,,False,False
Bryiah,dps,,False,True
Zephyyra,hps,,True,True
Googboog,dps,,False,True
Cinzia,dps,,False,True
