player_name,primary_role,boss_id,boss_name,percentile,ilevel,spec,metric,ranking_date
Vaelyra,damage,2063,Aggramar,61,974,Havoc,hps,1531190861715
Vaelyra,damage,2069,Varimathras,32,969,Vengeance,hps,1530676033062
Vaelyra,damage,2073,The Coven of Shivarra,53,974,Havoc,hps,1530679142542
Vaelyra,damage,2076,Garothi Worldbreaker,41,974,Havoc,hps,1530670081597
Vaelyra,damage,2082,Imonar the Soulhunter,43,974,Havoc,hps,1530671195969
Vaelyra,damage,2088,Kin'garoth,28,974,Havoc,hps,1530672203536
Vaelyra,damage,2092,Argus the Unmaker,20,974,Havoc,hps,1531284881433
Vaelyra,damage,2063,Aggramar,66,974,Havoc,dps,1531190861715
Vaelyra,damage,2069,Varimathras,11,969,Vengeance,dps,1530676033062
Vaelyra,damage,2073,The Coven of Shivarra,40,974,Havoc,dps,1530679142542
Vaelyra,damage,2076,Garothi Worldbreaker,50,974,Havoc,dps,1530670081597
Vaelyra,damage,2082,Imonar the Soulhunter,26,974,Havoc,dps,1530671195969
Vaelyra,damage,2088,Kin'garoth,8,974,Havoc,dps,1530672203536
Vaelyra,damage,2092,Argus the Unmaker,33,974,Havoc,dps,1531284881433
Vaelyra,damage,2063,Aggramar,42,974,Havoc,tankhps,1531190861715
Vaelyra,damage,2069,Varimathras,32,969,Vengeance,tankhps,1530676033062
Vaelyra,damage,2073,The Coven of Shivarra,80,974,Havoc,tankhps,1530679142542
Vaelyra,damage,2076,Garothi Worldbreaker,90,974,Havoc,tankhps,1530670081597
Vaelyra,damage,2082,Imonar the Soulhunter,83,974,Havoc,tankhps,1530671195969
Vaelyra,damage,2088,Kin'garoth,90,974,Havoc,tankhps,1530672203536
Vaelyra,damage,2092,Argus the Unmaker,50,974,Havoc,tankhps,1530160712021
Metonymy,damage,2063,Aggramar,64,979,Fire,hps,1531190861715
Metonymy,damage,2069,Varimathras,9,980,Fire,hps,1530676033062
Metonymy,damage,2073,The Coven of Shivarra,6,979,Fire,hps,1530679142542
Metonymy,damage,2076,Garothi Worldbreaker,17,979,Fire,hps,1530670081597
Metonymy,damage,2082,Imonar the Soulhunter,6,979,Fire,hps,1530671195969
Metonymy,damage,2088,Kin'garoth,22,976,Fire,hps,1530672203536
Metonymy,damage,2092,Argus the Unmaker,63,979,Fire,hps,1531284881433
Metonymy,damage,2063,Aggramar,13,979,Fire,dps,1531190861715
Metonymy,damage,2069,Varimathras,28,980,Fire,dps,1530676033062
Metonymy,damage,2073,The Coven of Shivarra,57,979,Fire,dps,1530679142542
Metonymy,damage,2076,Garothi Worldbreaker,38,979,Fire,dps,1530670081597
Metonymy,damage,2082,Imonar the Soulhunter,92,979,Fire,dps,1530671195969
Metonymy,damage,2088,Kin'garoth,22,976,Fire,dps,1530672203536
Metonymy,damage,2092,Argus the Unmaker,10,979,Fire,dps,1531284881433
Metonymy,damage,2063,Aggramar,100,979,Fire,tankhps,1531190861715
Metonymy,damage,2069,Varimathras,100,980,Fire,tankhps,1530676033062
Metonymy,damage,2073,The Coven of Shivarra,100,979,Fire,tankhps,1530679142542
Metonymy,damage,2076,Garothi Worldbreaker,100,979,Fire,tankhps,1530670081597
Metonymy,damage,2082,Imonar the Soulhunter,99,979,Fire,tankhps,1530671194773
Metonymy,damage,2088,Kin'garoth,100,976,Fire,tankhps,1530672203536
Metonymy,damage,2092,Argus the Unmaker,99,979,Fire,tankhps,1530160712021
Brian,damage,2063,Aggramar,93,971,Marksmanship,hps,1531190861715
Brian,damage,2069,Varimathras,90,971,Marksmanship,hps,1530676033062
Brian,damage,2073,The Coven of Shivarra,97,970,Marksmanship,hps,1530679142542
Brian,damage,2076,Garothi Worldbreaker,81,971,Marksmanship,hps,1530670081597
Brian,damage,2082,Imonar the Soulhunter,73,971,Marksmanship,hps,1530671195969
Brian,damage,2088,Kin'garoth,85,971,Marksmanship,hps,1530672203536
Brian,damage,2092,Argus the Unmaker,94,971,Marksmanship,hps,1530160712021
Brian,damage,2063,Aggramar,12,971,Marksmanship,dps,1531190861715
Brian,damage,2069,Varimathras,64,971,Marksmanship,dps,1530676033062
Brian,damage,2073,The Coven of Shivarra,53,970,Marksmanship,dps,1530679142542
Brian,damage,2076,Garothi Worldbreaker,82,971,Marksmanship,dps,1530670081597
Brian,damage,2082,Imonar the Soulhunter,18,971,Marksmanship,dps,1530671195969
Brian,damage,2088,Kin'garoth,41,971,Marksmanship,dps,1530672203536
Brian,damage,2092,Argus the Unmaker,54,971,Marksmanship,dps,1530160712021
