"Name","Att.%","Uld12/19","Uld12/18","Uld12/13","Uld12/12","Uld12/11","Uld12/6","Uld12/5","Uld12/4","Uld11/29","Uld11/28","Uld11/27","Uld11/15","Uld11/14","Uld11/13","Uld11/8","Uld11/7"
"Acturus","93%","","","","","","","","","","","","","","","",""
"Ayriea","93%","","","","","","","","","","","","","","","",""
"Brassi","6%","","","","","","","","","","","","","","","",""
"Brian","100%","","","","","","","","","","","","","","","",""
"Draigo","100%","","","","","","","","","","","","","","","",""
"Earrl","100%","","","","","","","","","","","","","","","",""
"Grombrindal","93%","","","","","","","","","","","","","","","",""
"Illestra","100%","","","","","","","","","","","","","","","",""
"Invinceble","6%","","","","","","","","","","","","","","","",""
"Jampers","100%","","","","","","","","","","","","","","","",""
"Katanescence","31%","","","","","","","","","","","","","","","",""
"Katheals","6%","","","","","","","","","","","","","","","",""
"Kiwisoda","25%","","","","","","","","","","","","","","","",""
"Kopyelock","100%","","","","","","","","","","","","","","","",""
"Liavre","18%","","","","","","","","","","","","","","","",""
"Metonymy","100%","","","","","","","","","","","","","","","",""
"Mythrose","87%","","","","","","","","","","","","","","","",""
"Noraela","6%","","","","","","","","","","","","","","","",""
"Petrol","100%","","","","","","","","","","","","","","","",""
"Psychodruid","100%","","","","","","","","","","","","","","","",""
"Shadowbaine","100%","","","","","","","","","","","","","","","",""
"Stradlock","75%","","","","","","","","","","","","","","","",""
"Sumi","31%","","","","","","","","","","","","","","","",""
"Tawn","100%","","","","","","","","","","","","","","","",""
"Toy","87%","","","","","","","","","","","","","","","",""
"Uuglei","25%","","","","","","","","","","","","","","","",""
"Vaelyra","75%","","","","","","","","","","","","","","","",""
"Vampyric","75%","","","","","","","","","","","","","","","",""
"Velryssa","75%","","","","","","","","","","","","","","","",""
"Velsummers","62%","","","","","","","","","","","","","","","",""
