"Name","Att.%","Uld9/13","Uld9/11","Uld9/6","Uld9/5","Uld9/5","Uld9/4"
"Acturus","100%","","","","","",""
"Ayriea","100%","","","","","",""
"Brian","100%","","","","","",""
"Cagliostro","100%","","","","","",""
"Dough","100%","","","","","",""
"Draigo","100%","","","","","",""
"Earrl","100%","","","","","",""
"Illestra","100%","","","","","",""
"Jampers","100%","","","","","",""
"Kamer","16%","","","","","",""
"Katanescence","100%","","","","","",""
"Liavre","100%","","","","","",""
"Metonymy","100%","","","","","",""
"Mythrose","100%","","","","","",""
"Petrol","100%","","","","","",""
"Psychodruid","100%","","","","","",""
"Shadowbaine","100%","","","","","",""
"Stradlock","100%","","","","","",""
"Sumi","100%","","","","","",""
"Tawn","100%","","","","","",""
"Toy","100%","","","","","",""
"Uuglei","100%","","","","","",""
"Vaelyra","100%","","","","","",""
"Vampyric","33%","","","","","",""
"Velryssa","100%","","","","","",""
